month,count
July 2005,1569412
August 2005,1553146
September 2005,1363140
October 2005,1384822
November 2005,1304433
December 2005,1350000
January 2006,1182313
February 2006,1094470
March 2006,1337770
April 2006,1371576
May 2006,1408991
June 2006,1570272
July 2006,1583055
August 2006,1539211
September 2006,1353586
October 2006,1417003
November 2006,1325354
December 2006,1374406
January 2007,1217679
February 2007,1144391
March 2007,1405982
April 2007,1420480
May 2007,1521884
June 2007,1650947
July 2007,1656412
August 2007,1687024
September 2007,1471094
October 2007,1568276
November 2007,1465087
December 2007,1477301
January 2008,1297099
February 2008,1294648
March 2008,1560380
April 2008,1504074
May 2008,1653760
June 2008,1738334
July 2008,1761579
August 2008,1774735
September 2008,1499313
October 2008,1569545
November 2008,1383133
December 2008,1491674
January 2009,1290035
February 2009,1173406
March 2009,1454796
April 2009,1500465
May 2009,1592457
June 2009,1733926
July 2009,1798641
August 2009,1790589
September 2009,1602188
October 2009,1633418
November 2009,1490890
December 2009,1550460
January 2010,1359375
February 2010,1249672
March 2010,1541956
April 2010,1559704
May 2010,1687160
June 2010,1836349
July 2010,1846490
August 2010,1845624
September 2010,1683566
October 2010,1752673
November 2010,1585534
December 2010,1591589
January 2011,1409136
February 2011,1295211
March 2011,1561541
April 2011,1593407
May 2011,1771329
June 2011,1900610
July 2011,1932621
August 2011,1923748
September 2011,1783953
October 2011,1804254
November 2011,1670612
December 2011,1742295
January 2012,1571845
February 2012,1493150
March 2012,1739289
April 2012,1764188
May 2012,1915521
June 2012,2078066
July 2012,2103777
August 2012,2165149
September 2012,1890812
October 2012,1934113
November 2012,1744729
December 2012,1747550
January 2013,1558685
February 2013,1478579
March 2013,1794640
April 2013,1774595
May 2013,1988752
June 2013,2092041
July 2013,2060059
August 2013,2154833
September 2013,1884343
October 2013,1957611
November 2013,1756833
December 2013,1916814
January 2014,1675812
February 2014,1533190
March 2014,1879974
April 2014,1916848
May 2014,2078697
June 2014,2180660
July 2014,2195683
August 2014,2248755
September 2014,1948420
October 2014,2034949
November 2014,1830334
December 2014,1941106
January 2015,1736575
February 2015,1611621
March 2015,2000314
April 2015,1992518
May 2015,2173731
June 2015,2309593
July 2015,2351298
August 2015,2356914
September 2015,2099362
October 2015,2216408
November 2015,2017137
December 2015,2089548
January 2016,1825846
February 2016,1753761
March 2016,2070896
April 2016,2062962
May 2016,2277536
June 2016,2499842
July 2016,2517460
August 2016,2515152
September 2016,2255391
October 2016,2285426
November 2016,2137473
December 2016,2210506
January 2017,1880986
February 2017,1731259
March 2017,2181301
April 2017,2201044
May 2017,2340961
June 2017,2614453
July 2017,2686861
August 2017,2718481
September 2017,2376714
October 2017,2440276
November 2017,2300751
December 2017,2389342
January 2018,2016637
February 2018,1936989
March 2018,2352210
April 2018,2318680
May 2018,2513125
June 2018,2763785
July 2018,2779507
August 2018,2740357
September 2018,2302919
October 2018,2430076
November 2018,2245913
December 2018,2336093
January 2019,2003649
February 2019,1873694
March 2019,2316520
April 2019,2294140
May 2019,2505020
June 2019,2793918
July 2019,2754032
August 2019,2844325
September 2019,2217062
